part;time [s];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s];center.x [m];center.y [m];center.z [m];surge [m];heave [m];pitch [deg]
0;  0.000000000000E+00;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.550000000000E+00;  0.000000000000E+00;  8.500000000000E-01;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00
1;  1.001937012589E-02; -1.6021086E-03;  0.0000000E+00; -3.5382695E-02;  0.0000000E+00; -1.0521855E-04;  0.0000000E+00;  1.549996128282E+00;  0.000000000000E+00;  8.498175311103E-01; -3.8593883E-06; -1.8246473E-04;  5.1212187E-05
2;  2.004452877493E-02;  1.8991940E-03;  0.0000000E+00; -7.9578750E-02;  0.0000000E+00;  5.2538427E-04;  0.0000000E+00;  1.550005729570E+00;  0.000000000000E+00;  8.492257948181E-01;  5.7369427E-06; -7.7416002E-04; -1.5367451E-04
3;  3.006474925859E-02;  2.2670103E-03;  0.0000000E+00; -9.6633703E-02;  0.0000000E+00;  9.7148161E-04;  0.0000000E+00;  1.550009838939E+00;  0.000000000000E+00;  8.483686059387E-01;  9.8049633E-06; -1.6314089E-03; -3.0735851E-04
4;  4.007986291400E-02; -1.3558235E-03;  0.0000000E+00; -1.1943502E-01;  0.0000000E+00; -4.3290414E-04;  0.0000000E+00;  1.550023709063E+00;  0.000000000000E+00;  8.472941128770E-01;  2.3722646E-05; -2.7058721E-03; -4.0980957E-04
5;  5.008934494453E-02;  8.3444815E-04;  0.0000000E+00; -1.3204463E-01;  0.0000000E+00;  9.2567177E-05;  0.0000000E+00;  1.550045365952E+00;  0.000000000000E+00;  8.460350271695E-01;  4.5388935E-05; -3.9649308E-03; -5.1226419E-04
6;  6.000388004310E-02;  1.1097712E-03;  0.0000000E+00; -1.7429940E-01;  0.0000000E+00;  2.7636290E-04;  0.0000000E+00;  1.550059283685E+00;  0.000000000000E+00;  8.445252394335E-01;  5.9247015E-05; -5.4747462E-03; -5.4641513E-04
7;  7.000573168955E-02;  1.2932869E-03;  0.0000000E+00; -2.0418251E-01;  0.0000000E+00; -9.1242553E-05;  0.0000000E+00;  1.550083498765E+00;  0.000000000000E+00;  8.426409799309E-01;  8.3446497E-05; -7.3590279E-03; -8.1962226E-04
8;  8.000359326494E-02;  4.0297797E-03;  0.0000000E+00; -2.3814577E-01;  0.0000000E+00;  1.1866402E-03;  0.0000000E+00;  1.550117371927E+00;  0.000000000000E+00;  8.404623508895E-01;  1.1736153E-04; -9.5376372E-03; -1.2977359E-03
9;  9.008486428292E-02;  4.6195465E-04;  0.0000000E+00; -2.5800049E-01;  0.0000000E+00; -6.0616515E-04;  0.0000000E+00;  1.550148810233E+00;  0.000000000000E+00;  8.379319849859E-01;  1.4881787E-04; -1.2068018E-02; -1.6904714E-03
10;  1.000676638042E-01;  4.0044500E-03;  0.0000000E+00; -2.7386385E-01;  0.0000000E+00;  9.1584993E-04;  0.0000000E+00;  1.550187721462E+00;  0.000000000000E+00;  8.353001605271E-01;  1.8768009E-04; -1.4699861E-02; -2.2368863E-03
11;  1.100450857647E-01;  5.5666724E-03;  0.0000000E+00; -2.9222536E-01;  0.0000000E+00;  2.2956709E-04;  0.0000000E+00;  1.550230260742E+00;  0.000000000000E+00;  8.324675165191E-01;  2.3025269E-04; -1.7532468E-02; -2.5271698E-03
12;  1.200192605106E-01;  5.5671488E-03;  0.0000000E+00; -3.0550295E-01;  0.0000000E+00; -1.2880542E-03;  0.0000000E+00;  1.550289673070E+00;  0.000000000000E+00;  8.295216066823E-01;  2.8969343E-04; -2.0478383E-02; -2.3393406E-03
13;  1.300819259592E-01;  7.6864827E-03;  0.0000000E+00; -3.3867157E-01;  0.0000000E+00; -2.0143923E-03;  0.0000000E+00;  1.550349915973E+00;  0.000000000000E+00;  8.262775029547E-01;  3.4989415E-04; -2.3722485E-02; -1.3831136E-03
14;  1.400354178124E-01;  6.3035539E-03;  0.0000000E+00; -3.6141664E-01;  0.0000000E+00; -3.4936967E-03;  0.0000000E+00;  1.550408026425E+00;  0.000000000000E+00;  8.227871835063E-01;  4.0799379E-04; -2.7212799E-02;  7.5132081E-04
