part;time [s];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s];center.x [m];center.y [m];center.z [m];surge [m];heave [m];pitch [deg]
100;  1.000022579209E+00; -2.1378228E-01;  0.0000000E+00;  1.7726636E-01;  0.0000000E+00;  1.8407058E+00;  0.0000000E+00;  9.927032824780E-01;  0.000000000000E+00;  8.658444060859E-01;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00
101;  1.010011338861E+00; -1.9926910E-01;  0.0000000E+00;  2.0089652E-01;  0.0000000E+00;  2.1087565E+00;  0.0000000E+00;  9.906145165691E-01;  0.000000000000E+00;  8.677489697466E-01; -2.0888272E-03;  1.9045136E-03; -1.1243149E+00
102;  1.020000098512E+00; -1.9111545E-01;  0.0000000E+00;  2.0950715E-01;  0.0000000E+00;  2.2127328E+00;  0.0000000E+00;  9.885180126212E-01;  0.000000000000E+00;  8.698309635894E-01; -4.1853614E-03;  3.9864822E-03; -2.3000348E+00
103;  1.030011663551E+00; -1.9597788E-01;  0.0000000E+00;  2.1380302E-01;  0.0000000E+00;  2.3614902E+00;  0.0000000E+00;  9.866106806081E-01;  0.000000000000E+00;  8.720962143350E-01; -6.0927229E-03;  6.2516983E-03; -3.6133343E+00
104;  1.040000423203E+00; -1.8052262E-01;  0.0000000E+00;  2.2298115E-01;  0.0000000E+00;  2.5216877E+00;  0.0000000E+00;  9.846095847391E-01;  0.000000000000E+00;  8.741039164288E-01; -8.0938968E-03;  8.2594083E-03; -4.9756628E+00
105;  1.050011988241E+00; -1.9165409E-01;  0.0000000E+00;  2.2122110E-01;  0.0000000E+00;  2.3608418E+00;  0.0000000E+00;  9.826957073729E-01;  0.000000000000E+00;  8.764048103805E-01; -1.0007815E-02;  1.0560255E-02; -6.3491855E+00
106;  1.060000747893E+00; -1.8388884E-01;  0.0000000E+00;  2.7277228E-01;  0.0000000E+00;  2.3170023E+00;  0.0000000E+00;  9.808864155621E-01;  0.000000000000E+00;  8.788520883852E-01; -1.1817209E-02;  1.3007470E-02; -7.7196268E+00
107;  1.070012312932E+00; -1.7070198E-01;  0.0000000E+00;  2.4329090E-01;  0.0000000E+00;  2.3969245E+00;  0.0000000E+00;  9.791149047640E-01;  0.000000000000E+00;  8.813931212995E-01; -1.3588795E-02;  1.5548470E-02; -9.0743793E+00
108;  1.080001072583E+00; -1.6900185E-01;  0.0000000E+00;  2.9373747E-01;  0.0000000E+00;  2.3354900E+00;  0.0000000E+00;  9.773923049249E-01;  0.000000000000E+00;  8.839800242908E-01; -1.5311467E-02;  1.8135345E-02; -1.0418021E+01
109;  1.090012637622E+00; -1.7548409E-01;  0.0000000E+00;  2.5307131E-01;  0.0000000E+00;  2.1527042E+00;  0.0000000E+00;  9.756412019963E-01;  0.000000000000E+00;  8.867812948488E-01; -1.7062604E-02;  2.0936636E-02; -1.1687972E+01
110;  1.100001397274E+00; -1.6881400E-01;  0.0000000E+00;  2.7919745E-01;  0.0000000E+00;  2.3488731E+00;  0.0000000E+00;  9.739186410945E-01;  0.000000000000E+00;  8.893829255731E-01; -1.8785216E-02;  2.3538224E-02; -1.2962546E+01
111;  1.110022585167E+00; -1.7320587E-01;  0.0000000E+00;  2.6774630E-01;  0.0000000E+00;  2.5888445E+00;  0.0000000E+00;  9.722547246107E-01;  0.000000000000E+00;  8.921383535131E-01; -2.0449214E-02;  2.6293611E-02; -1.4444036E+01
112;  1.120011344819E+00; -1.5998209E-01;  0.0000000E+00;  2.6796612E-01;  0.0000000E+00;  2.4921529E+00;  0.0000000E+00;  9.705897105955E-01;  0.000000000000E+00;  8.947193382771E-01; -2.2114326E-02;  2.8874564E-02; -1.5914220E+01
113;  1.130000104470E+00; -1.5925537E-01;  0.0000000E+00;  2.7601016E-01;  0.0000000E+00;  2.0911043E+00;  0.0000000E+00;  9.690556914848E-01;  0.000000000000E+00;  8.975761584222E-01; -2.3648440E-02;  3.1731395E-02; -1.7246435E+01
114;  1.140018941373E+00; -1.4742219E-01;  0.0000000E+00;  2.8880739E-01;  0.0000000E+00;  1.8678849E+00;  0.0000000E+00;  9.675113647781E-01;  0.000000000000E+00;  9.002504355312E-01; -2.5192775E-02;  3.4405693E-02; -1.8398348E+01
115;  1.150023377109E+00; -1.4164326E-01;  0.0000000E+00;  2.5324026E-01;  0.0000000E+00;  1.7441050E+00;  0.0000000E+00;  9.660711887590E-01;  0.000000000000E+00;  9.030354697548E-01; -2.6632996E-02;  3.7190729E-02; -1.9429227E+01
116;  1.160020991330E+00; -1.1608610E-01;  0.0000000E+00;  3.0145094E-01;  0.0000000E+00;  1.6265601E+00;  0.0000000E+00;  9.647750227138E-01;  0.000000000000E+00;  9.057568706921E-01; -2.7929220E-02;  3.9912113E-02; -2.0388033E+01
117;  1.170010720556E+00; -9.6131377E-02;  0.0000000E+00;  2.6684755E-01;  0.0000000E+00;  1.5252695E+00;  0.0000000E+00;  9.637109894076E-01;  0.000000000000E+00;  9.086161440543E-01; -2.8993316E-02;  4.2771394E-02; -2.1276702E+01
118;  1.180022285595E+00; -6.9540605E-02;  0.0000000E+00;  3.2891634E-01;  0.0000000E+00;  1.5239762E+00;  0.0000000E+00;  9.628775563438E-01;  0.000000000000E+00;  9.115877333232E-01; -2.9826772E-02;  4.5742979E-02; -2.2150512E+01
119;  1.190017075795E+00; -5.9237402E-02;  0.0000000E+00;  3.0169061E-01;  0.0000000E+00;  1.3563466E+00;  0.0000000E+00;  9.622532615891E-01;  0.000000000000E+00;  9.148211829343E-01; -3.0451081E-02;  4.8976456E-02; -2.2993086E+01
